f1_calm,precision_calm,recall_calm,f1_elevated,precision_elevated,recall_elevated,f1_stress,precision_stress,recall_stress,f1_macro_avg,precision_macro_avg,recall_macro_avg,f1_weighted_avg,precision_weighted_avg,recall_weighted_avg,accuracy,seed,fold,mode,model,f1_not_stress,precision_not_stress,recall_not_stress
0.5704,0.5021,0.6601,0.2862,0.3914,0.2255,0.6207,0.5652,0.6883,0.4924,0.4862,0.5246,0.4766,0.4791,0.5015,0.5015,42,1,multiclass,lr,,,
0.808,0.8999,0.7331,0.733,0.7459,0.7205,0.7927,0.7205,0.8809,0.7779,0.7888,0.7782,0.7743,0.7847,0.7743,0.7743,42,1,multiclass,rf,,,
0.8857,0.8934,0.8782,0.7742,0.8522,0.7092,0.7925,0.72,0.8813,0.8175,0.8219,0.8229,0.8137,0.8235,0.8141,0.8141,42,1,multiclass,xgb,,,
0.5212,0.4368,0.646,0.5684,0.6615,0.4983,0.5704,0.6253,0.5244,0.5534,0.5745,0.5563,0.5547,0.5821,0.5512,0.5512,42,1,multiclass,lstm,,,
0.1813,0.3071,0.1286,0.5532,0.4053,0.8711,0.1199,0.4737,0.0686,0.2848,0.3954,0.3561,0.3054,0.3968,0.3959,0.3959,42,1,multiclass,cnn_gaf,,,
,,,,,,0.6632,0.594,0.7507,0.7399,0.7329,0.7592,0.7688,0.7853,0.7624,0.7624,42,1,binary,lr,0.8165,0.8719,0.7678
,,,,,,0.8221,0.7804,0.8686,0.8674,0.8589,0.879,0.8845,0.8884,0.8829,0.8829,42,1,binary,rf,0.9127,0.9373,0.8894
,,,,,,0.7932,0.7214,0.8809,0.8419,0.8308,0.8635,0.8603,0.872,0.8569,0.8569,42,1,binary,xgb,0.8906,0.9401,0.8461
,,,,,,0.6283,0.4817,0.9032,0.6634,0.7046,0.7317,0.6767,0.7886,0.6671,0.6671,42,1,binary,lstm,0.6985,0.9275,0.5602
,,,,,,0.0109,0.4375,0.0055,0.4128,0.5632,0.5012,0.5643,0.6106,0.688,0.688,42,1,binary,cnn_gaf,0.8148,0.6889,0.9968
0.9162,0.966,0.8714,0.1146,0.0811,0.1955,0.7877,0.671,0.9535,0.6062,0.5727,0.6735,0.8788,0.9095,0.8588,0.8588,42,2,multiclass,lr,,,
0.8944,0.9754,0.8258,0.1842,0.1121,0.5168,0.8607,0.7814,0.958,0.6464,0.623,0.7669,0.8692,0.9296,0.8294,0.8294,42,2,multiclass,rf,,,
0.9154,0.99,0.8512,0.3073,0.1882,0.8374,0.8965,0.8346,0.9684,0.7064,0.6709,0.8857,0.8948,0.9499,0.8624,0.8624,42,2,multiclass,xgb,,,
0.9229,0.9272,0.9186,0.0351,0.0441,0.0292,0.5389,0.4967,0.5889,0.499,0.4893,0.5122,0.8574,0.8573,0.8585,0.8585,42,2,multiclass,lstm,,,
0.4928,0.9112,0.3377,0.0622,0.0563,0.0693,0.2072,0.1197,0.7707,0.254,0.3624,0.3926,0.4512,0.8063,0.3725,0.3725,42,2,multiclass,cnn_gaf,,,
,,,,,,0.6402,0.4789,0.9649,0.7884,0.7373,0.9246,0.9072,0.9443,0.8922,0.8922,42,2,binary,lr,0.9366,0.9956,0.8842
